;participant_id;goal_id;goal;gcq_1;gcq_9;gcq_10;gcq_14;gcq_19;gcq_21;gcq_29;gcq_34;gcq_36;gcq_38;gcq_45;gcq_49;gcq_51;gcq_60;gcq_62;gcq_67;gcq_73;gcq_74;gcq_78;gcq_83;gcq_87;gcq_90;gcq_95;gcq_99;gcq_105;gcq_109;gcq_112;gcq_116;gcq_122;gcq_126;gcq_129;gcq_132
912;1604;pg_912;Ich möchte während meines Studiums erreichen, dass ich viel Interesse am Studienfach habe.;0.5;0.75;0.5;0.75;1;0.41;1;0.75;0;0.75;0.44;0.75;0.75;0.5;0.26;0.67;0.8;0.67;0.99;0.5;0.72;1;0.92;0.75;0.88;0;0.7;1;0.85;0.56;1;0
913;1604;pg_913;Ich möchte die vorlesungsfreie Zeit nutzen, um auch mal außerhalb des Studiums etwas zu erleben (Reisen).;0.75;1;0.75;0.5;1;0.5;1;0.5;0;0.72;0.04;0.79;0.95;0.24;0.3;0.81;0.71;0.5;0.01;0.25;0.55;1;0.5;0.75;0.59;0;0.85;0.62;0.67;0.5;1;0
914;1604;pg_914;Ich möchte Wissen ansammeln, das ich später brauche.;0.75;1;0.75;1;1;0.25;1;0.25;0;0.91;0.37;0.75;0.91;0.08;0.37;0.74;0.96;0.78;0.59;0.5;0.75;1;0.92;0.74;1;0.55;0.64;1;0.86;0.63;1;0
897;1588;pg_897;Die Bildung von Sozialen Kontakten die auch in Zukunft halten.;0.75;0.75;0.75;0.75;0.75;0;0;0.5;0;0.75;1;0.75;0.5;1;0.75;0.75;0.75;0.75;0.75;0.25;0.75;0.5;0.75;0.75;1;0;0;1;0.75;0.5;1;0
898;1588;pg_898;Erstellung eines Basiswissen was im job aber auch im normalen Leben hilfreich sein kann.;0.25;0;1;0.25;0.75;0;1;1;0;0;0;0.75;1;0;1;1;1;1;1;0;1;1;1;1;1;0;0.75;1;0;0.25;1;0
899;1588;pg_899;Erkennen wo meine Stärken und schächen Liegen sodass ich meine Zukunft individueller gestallten kann.;0.75;0;1;1;0.75;0;1;1;0;0.25;0.75;0;0.5;1;1;1;0;0.5;0.75;0.5;0.5;0.5;1;1;1;0;0;1;0.5;1;1;0.5
923;1616;pg_923;Mein Verständnis von Psychologie verbessern und meine Berufswahl eingrenzen.;0.89;0.86;0.84;1;0.94;0.51;0.96;0.5;0.47;0.51;0.84;0.97;0.56;0.77;0.07;1;1;0.75;0.77;0.16;0.54;0.75;0.93;0.83;0.92;0;0.48;1;0.65;1;0.93;0.07
924;1616;pg_924;Mich persönlich weiterentwickeln und meine Interessen herausfiltern.;0.16;0.57;0.99;0.76;0.94;0.34;0.94;0.5;0.3;0.94;0.78;0.5;0.5;0.77;0.46;0.58;0.39;0.43;0.14;0.53;0.35;0.58;1;0.75;1;0;0.75;1;0.65;0.57;1;0.02
925;1616;pg_925;Alles in allem ein rundes Studium haben und grade jetzt nach Corona mehr Zeit mit Freunden und mit Aktivitäten verbringen.;0.5;0.31;0.57;0.5;0.45;0.73;0.87;1;0.03;0.93;0.1;0.83;0.72;0.57;0.98;0.8;0.89;1;0.45;0.14;0.59;0.76;0.5;0.75;0.75;0.23;0.75;0.76;0.83;0.32;0.63;0.07
918;1615;pg_918;Ich möchte herausfinden in welchem Bereich ich später arbeiten möchte.;0.88;0.84;0.5;0.75;0.76;0.45;1;0.92;0.06;0.76;0.56;0.63;0.81;0.61;0.36;0.84;0.5;0.35;0.5;0.44;0.76;0.95;0.69;0.93;1;0.25;0.67;0.88;0.69;0.6;0.76;0.22
